F,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_002483
p1658/97,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_004998
pC15-1a,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_005327
pIP1206,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_010558
pO26I,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_011812
pO86A1,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_008460
pSMS35_130,IncF,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_010488
R100,IncF,Gammaproteobacteria,Enterobacteriales,Shigella,flexneri,NC_002134
pAPEC-O1-R,IncH,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_009838
pEC-IMP,IncH,Gammaproteobacteria,Enterobacteriales,Enterobacter,cloacae,NC_012555
pHCM1,IncH,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_003384
pK29,IncH,Gammaproteobacteria,Enterobacteriales,Klebsiella,pneumoniae,NC_010870
pMAK1,IncH,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_009981
R27,IncH,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_002305
R478,IncH,Gammaproteobacteria,Enterobacteriales,Serratia,marcescens,NC_005211
ColIb-P9,IncI,Gammaproteobacteria,Enterobacteriales,Shigella,sonnei,NC_002122
pCVM29188_101,IncI,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_011077
pO113,IncI,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_007365
pO26-Vir,IncI,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_012487
pSE11-1,IncI,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_011419
pSL476_91,IncI,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_011081
R64,IncI,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_005014
pKP12,IncN,Gammaproteobacteria,Enterobacteriales,Klebsiella,pneumoniae,NC_011385
pKP9,IncN,Gammaproteobacteria,Enterobacteriales,Klebsiella,pneumoniae,NC_011383
pKP96,IncN,Gammaproteobacteria,Enterobacteriales,Klebsiella,pneumoniae,NC_011617
pLEW517,IncN,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_009132
pMAK2,IncN,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_009980
pMUR050,IncN,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_007682
R46,IncN,Gammaproteobacteria,Enterobacteriales,Salmonella,typhimurium,NC_003292
pA1,IncP,Alphaproteobacteria,Sphingomonadales,Sphingomonas,sp.,NC_007353
pA81,IncP,Betaproteobacteria,Burkholderiales,Achromobacter,xylosoxidans,NC_006830
pADP-1,IncP,Gammaproteobacteria,Pseudomonadales,Pseudomonas,sp.,NC_004956
pAMMD_1,IncP,Betaproteobacteria,Burkholderiales,Burkholderia,ambifaria,NC_008385
pAOVO02,IncP,Betaproteobacteria,Burkholderiales,Acidovorax,sp.,NC_008766
pB10,IncP,NA,NA,NA,,NC_004840
pB3,IncP,NA,NA,NA,,NC_006388
pB4,IncP,NA,NA,NA,,NC_003430
pB8,IncP,NA,NA,NA,,NC_007502
pBP136,IncP,Betaproteobacteria,Burkholderiales,Bordetella,pertussis,NC_008459
pBS228,IncP,Gammaproteobacteria,Pseudomonadales,Pseudomonas,aeruginosa,NC_008357
pCNB,IncP,Betaproteobacteria,Burkholderiales,Comamonas,sp.,NC_010935
pEST4011,IncP,Betaproteobacteria,Burkholderiales,Achromobacter,denitrificans,NC_005793
pIJB1,IncP,Betaproteobacteria,Burkholderiales,Burkholderia,cepacia,DQ065837
pJP4,IncP,Betaproteobacteria,Burkholderiales,Ralstonia,eutropha,NC_005912
pKJK5,IncP,*,NA,NA,NA,NC_008272
pQKH54,IncP,*,NA,NA,NA,NC_008055
pTB11,IncP,NA,NA,NA,,NC_006352
pTP6,IncP,NA,NA,NA,,NC_007680
