Rep,35235,InitiatorReplicationfamilyprotein,Inc?,pAcX50d,195547,301,*,NONE
Rep,3924,InitiatorReplicationprotein,Inc?,pMETAL01,205776,439,*,NONE
Rep,73391,"ATP-dependentDNAhelicase,Repfamily",Inc?,AZOBR,249553,708,*,NONE
Rep,8306,replicationprotein,Inc?,p3ABSDF,294064,303,74.1,NONE
Rep,8306,putativereplicationprotein,Inc?,p2ABSDF,250010,297,*,NONE
Rep,8306,RepA,AB,Inc?,145562,295,87.5,NONE
Rep,8306,initiatorReplicationfamilyprotein,Inc?,pCMC8300,310708,293,89.6,NONE
Rep,8306,initiatorReplicationfamilyprotein,Inc?,pCMC8300,98048,293,89.6,NONE
Rep,8306,replicationprotein,Inc?,pOXA58-AP,169371,293,89.6,NONE
Rep,4022,plasmidencodedRepAprotein,Inc?,pNL1,125852,434,100.0,NONE
Rep,4022,pirin,Inc?,p1,195799,434,91.5,NONE
Rep,4022,plasmidreplicationproteinRepA,Inc?,pCADAB1,52678,434,91.7,NONE
Rep,4022,RepAreplicationprotein,Inc?,pNL1,145352,434,*,NONE
Rep,10454,initiatorRepBprotein,Inc?,pYU39,98127,251,*,NONE
Rep,14075,hypotheticalprotein,Inc?,pIL7,287919,207,75.7,NONE
Rep,14075,ReplicationproteinRepB,Inc?,pEF-01,233073,190,*,NONE
Rep,4786,RepAreplicationprotein,Inc?,pNL1,145351,420,100.0,NONE
Rep,4786,plasmidpartitioningproteinParA,Inc?,pCADAB1,52679,401,95.8,NONE
Rep,4786,chromosomepartitioningprotein,Inc?,p1,195798,401,95.5,NONE
Rep,4786,"Cobyrinicacida,c-diamidesynthase",Inc?,pNL1,125851,401,*,NONE
Rep,6728,initiatorreplicationproteinRepB,Inc?,pSR35,261182,336,*,NONE
Rep,77279,putativeinitiatorRepBprotein,Inc?,pHsw2,199402,310,*,NONE
Rep,34718,replicationproteinRep63B,Inc?,unnamed,237856,318,*,NONE
Rep,34718,replicationproteinRep63B,Inc?,p2,189634,318,100.0,NONE
Rep,4029,replicationinitiationproteinRepC,Inc?,pWS8N,319324,433,*,NONE
Rep,4029,replicationinitiationproteinRepC,Inc?,pWS8N,318231,433,100.0,NONE
Rep,4029,ReplicationproteinC,Inc?,pRSKD131A,203555,432,90.1,NONE
Rep,4029,ReplicationproteinC,Inc?,B,121421,427,95.3,NONE
Rep,7308,ReplicationproteinRepA,Inc?,:,313690,320,*,NONE
Rep,41374,"replicationinitiationprotein,RepL1",Inc?,pSHJG1,227830,161,*,NONE
Rep,41374,"replicationinitiationprotein,RepL1",Inc?,pSHJGH1,226923,161,100.0,NONE
Rep,7515,ParB-likepartitionprotein,Inc?,pWS8N,319325,316,99.4,NONE
Rep,7515,ParB-likepartitionprotein,Inc?,pWS8N,318232,316,99.4,NONE
Rep,7515,plasmidpartitioningproteinRepB,Inc?,unnamed,169469,316,*,NONE
Rep,7515,ParB-likepartitionprotein,Inc?,B,121420,316,100.0,NONE
Rep,7515,ParB-likepartitionprotein,Inc?,pRSKD131A,203554,316,99.7,NONE
Rep,41372,DNAhelicaseIIUvrD,Inc?,pGOX1,81706,682,94.4,NONE
Rep,41372,ATP-dependentDNAhelicaseRep,Inc?,pGOX2,230133,161,*,NONE
Rep,78252,plasmidencodedRepAprotein,Inc?,pPAES01,102358,274,*,NONE
Rep,33746,plasmidencodedRepAprotein,Inc?,:,308535,351,*,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA32-012,179012,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA26-013,179189,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA07-010,179543,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA42C,178835,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA01-011,179898,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA03-010,179720,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA22-010,179366,307,75.2,NONE
Rep,33746,plasmidreplicationinitiatorRepA,Inc?,pAPA12-014,178657,307,75.2,NONE
Rep,33920,ParB/RepB/Spo0Jfamilypartitiondomainprotein,Inc?,pBIN,152134,345,*,NONE
Rep,75542,replicationinitiationproteinRepC,Inc?,pP73A,139237,396,*,NONE
Rep,11185,putativeRepAprotein,Inc?,pCRY,76423,237,*,NONE
Rep,11185,RepA,Inc?,pMET-1,83481,237,89.5,NONE
Rep,11185,incFIIRepAproteinfamilyprotein,Inc?,:,307914,233,81.0,NONE
Rep,11185,hypotheticalprotein,Inc?,pESA2,260862,199,85.9,NONE
Rep,11185,hypotheticalprotein,Inc?,pCTU2,249964,199,85.4,NONE
Rep,60218,plasmidpartitioningproteinRepBa2,Inc?,p42a,24891,222,*,NONE
Rep,32710,initiatorRepBprotein,Inc?,pBpOF4-02,229191,398,*,NONE
Rep,76345,initiatorRepBprotein,Inc?,pSBAL11702,103379,350,*,NONE
Rep,75420,putativereplicationproteinC,Inc?,pRL7,32418,404,*,NONE
Rep,75420,plasmidreplicationproteinRepCa1,Inc?,p42a,25039,403,80.0,NONE
Rep,75420,replicatorproteinRepC,Inc?,p42a,211117,403,80.0,NONE
Rep,7047,"Plasmidpartitioningprotein,RepB",Inc?,2.,308362,327,*,NONE
Rep,5838,"replicationprotein,repA",Inc?,1,141781,362,*,NONE
Rep,5838,"replicationprotein,repA",Inc?,pMM23,283092,358,87.6,NONE
Rep,5838,PutativereplicationproteinRepA,Inc?,pMAB23,294042,358,87.6,NONE
Rep,25695,RepC,Inc?,pIMP-HB623,45008,82,100.0,NONE
Rep,25695,RepC,Inc?,R830b,23008,82,100.0,NONE
Rep,25695,RepC,Inc?,LM6771,167487,82,100.0,NONE
Rep,25695,RepC,Inc?,R471,45739,82,100.0,NONE
Rep,25695,RepC,Inc?,pCF29,24447,80,100.0,NONE
